Rnk	CUST_SEG_NM	Insurance	 MbrCnt 	 Age 	Female	IP Admit	ER Visit	 PMPM 	 Med 	 Rx 	 Charlson 	Diabetes	HTN	Depression
7	AT&T 	UHC-FI	 6,796 	 39.0 	45.6%	 0.05 	 0.28 	$501	$411	$90	 0.64 	7.7%	19.0%	7.7%
8	VIRGINIA''S HEALTH INSURANCE MARKETPLACE 	UHC-FI	 6,534 	 43.8 	55.8%	 0.05 	 0.22 	$505	$388	$117	 0.75 	9.1%	19.6%	7.8%
9	CITY AND COUNTY OF DENVER 	UHC-FI	 5,151 	 44.1 	51.5%	 0.05 	 0.19 	$642	$493	$148	 0.67 	6.1%	16.3%	7.1%
10	FEDERAL EMPLOYEES HEALTH BENEFITS PROGRAM LR 	UHC-FI	 4,923 	 43.8 	53.1%	 0.04 	 0.18 	$409	$311	$98	 0.70 	7.1%	20.8%	6.3%
1	AT&T INC.-CARE PLUS 	UNIPRISE-ASO	 532,826 	 59.2 	53.7%	 0.01 	 0.05 	$134	$134	$0	 0.21 	2.5%	6.3%	1.3%
2	RAILROAD EMPLOYEES NATIONAL HEALTH & WELFARE PLAN 	UNIPRISE-ASO	 196,640 	 41.0 	45.1%	 0.03 	 0.14 	$279	$279	$0	 0.36 	3.9%	10.3%	5.5%
3	WAL-MART STORES INC. ASSOCIATES'' HEALTH AND WELFARE PLAN 	UNIPRISE-ASO	 139,102 	 43.4 	54.7%	 0.06 	 0.30 	$404	$404	$0	 0.72 	9.3%	23.0%	6.2%
4	JPMORGAN CHASE & CO. 	UNIPRISE-ASO	 132,235 	 42.3 	53.8%	 0.05 	 0.16 	$467	$467	$0	 0.62 	6.9%	16.7%	6.4%
5	DELTA AIR LINES INC 	UNIPRISE-ASO	 119,226 	 46.2 	50.8%	 0.05 	 0.16 	$605	$471	$133	 0.70 	6.4%	19.3%	6.3%
6	WELLS FARGO 	UNIPRISE-ASO	 116,456 	 41.9 	54.0%	 0.05 	 0.17 	$446	$446	$0	 0.59 	6.0%	15.6%	7.5%
7	SOUTHWEST AIRLINES COMPANY 	UNIPRISE-ASO	 84,090 	 43.4 	50.0%	 0.04 	 0.18 	$483	$474	$9	 0.62 	5.4%	16.4%	6.5%
8	GENERAL ELECTRIC 	UNIPRISE-ASO	 82,701 	 45.5 	45.7%	 0.05 	 0.15 	$420	$420	$0	 0.61 	6.8%	19.1%	4.8%
9	RAYTHEON COMPANY 	UNIPRISE-ASO	 80,854 	 45.8 	47.4%	 0.05 	 0.14 	$484	$484	$0	 0.69 	7.2%	19.7%	6.5%
10	AMERICAN AIRLINES 	UNIPRISE-ASO	 80,011 	 59.1 	48.4%	 0.06 	 0.17 	$301	$301	$0	 1.01 	9.3%	27.0%	4.9%
1	HEALTH AND WELFARE COMMITTEE COOPERATING RAILWAY LABOR ORGANIZATIONS 	UNIPRISE-FI	 83,717 	 74.5 	42.6%	 0.16 	 0.31 	$280	$280	$0	 1.99 	21.2%	52.6%	6.6%
2	HEWLETT PACKARD ENTERPRISE COMPANY 	UNIPRISE-FI	 16,211 	 45.2 	49.0%	 0.04 	 0.14 	$554	$422	$133	 0.69 	8.2%	20.2%	6.7%
3	ARAMARK CORPORATION 	UNIPRISE-FI	 8,662 	 46.6 	54.4%	 0.07 	 0.29 	$667	$527	$140	 0.92 	12.5%	29.6%	6.4%
4	STARBUCKS CORPORATION 	UNIPRISE-FI	 7,025 	 35.5 	58.3%	 0.04 	 0.15 	$355	$290	$65	 0.31 	2.1%	6.0%	6.4%
5	FIRST DATA CORPORATION 	UNIPRISE-FI	 6,846 	 43.2 	52.0%	 0.05 	 0.17 	$530	$421	$109	 0.69 	9.3%	19.6%	7.2%
6	RICOH AMERICAS CORPORATION 	UNIPRISE-FI	 5,688 	 46.4 	48.8%	 0.06 	 0.20 	$697	$518	$179	 0.88 	10.4%	26.3%	6.7%
7	HILTON DOMESTIC OPERATING COMPANY INC. 	UNIPRISE-FI	 5,547 	 45.3 	54.6%	 0.07 	 0.22 	$650	$483	$166	 0.87 	10.7%	24.0%	5.8%
8	AON SERVICE CORPORATION 	UNIPRISE-FI	 5,053 	 42.1 	59.1%	 0.06 	 0.20 	$616	$486	$130	 0.64 	6.9%	17.9%	6.9%
9	DARDEN RESTAURANTS INC. 	UNIPRISE-FI	 4,787 	 40.3 	47.8%	 0.05 	 0.26 	$478	$371	$107	 0.54 	5.3%	14.2%	6.0%
10	WOOD GROUP U.S. HOLDINGS INC. 	UNIPRISE-FI	 4,742 	 42.6 	43.5%	 0.05 	 0.17 	$580	$472	$109	 0.65 	7.1%	21.0%	5.5%
